tk_category_dashname,tk_category_name,tk_category_rules
Any_Glitchless,Any% Glitchless,https://wiki.speedsouls.com/ds1remaster:Glitchless & Cheating the BKH with DSR-Gadget or Gadgetlemage is allowed
Lordvessel,Lordvessel%,Place the Lordvessel ASAP and do a quitout
